SRR          CE              FP               GO              IOGA  NP  OA
SRR1945435:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945436:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945438:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945439:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945440:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945441:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945442:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945443:  SUCCESS         INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945444:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945445:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945446:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945448:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945449:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945451:  SUCCESS         SUCCESS          -               -     -   -
SRR1945453:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945454:  SUCCESS         SUCCESS          -               -     -   -
SRR1945455:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945457:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945458:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945459:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945460:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945461:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945462:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945463:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945464:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945465:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945466:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945467:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945468:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945469:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945470:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945472:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945473:  SUCCESS         SUCCESS          -               -     -   -
SRR1945474:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945476:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945477:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945478:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945480:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945482:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945483:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945484:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945486:  SUCCESS         SUCCESS          -               -     -   -
SRR1945487:  SUCCESS         SUCCESS          -               -     -   -
SRR1945488:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945490:  SUCCESS         SUCCESS          -               -     -   -
SRR1945491:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945492:  ERROR           INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945493:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945494:  SUCCESS         SUCCESS          -               -     -   -
SRR1945495:  INCOMPLETE_low  ERROR            INCOMPLETE_low  -     -   -
SRR1945496:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945497:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945498:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945499:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945501:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945502:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945503:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945504:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945505:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945506:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945507:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945508:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945509:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945511:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945512:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945513:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945515:  SUCCESS         SUCCESS          -               -     -   -
SRR1945517:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945519:  SUCCESS         SUCCESS          -               -     -   -
SRR1945520:  SUCCESS         SUCCESS          -               -     -   -
SRR1945521:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945522:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945523:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945524:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945525:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945526:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945527:  SUCCESS         SUCCESS          -               -     -   -
SRR1945528:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945529:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945530:  NO_PAIR         NO_PAIR          -               -     -   -
SRR1945531:  SUCCESS         SUCCESS          -               -     -   -
SRR1945532:  INCOMPLETE_low  PARTIAL          -               -     -   -
SRR1945534:  SUCCESS         SUCCESS          -               -     -   -
SRR1945535:  INCOMPLETE_low  ERROR            INCOMPLETE_low  -     -   -
SRR1945536:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945538:  SUCCESS         SUCCESS          -               -     -   -
SRR1945539:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945540:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945541:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945544:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
