SRR          CE              FP              GO              IOGA            NP              OA
ERR2144882:  PARTIAL         SUCCESS         PARTIAL         PARTIAL         ERROR           ERROR
ERR268390:   PARTIAL         SUCCESS         PARTIAL         PARTIAL         SUCCESS         SUCCESS
ERR268421:   INCOMPLETE_low  PARTIAL         INCOMPLETE_low  INCOMPLETE_low  PARTIAL         SUCCESS
ERR845262:   NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR
ERR964904:   ERROR           INCOMPLETE_low  INCOMPLETE_low  ERROR           PARTIAL         ERROR
SRR072296:   PARTIAL         PARTIAL         INCOMPLETE_low  PARTIAL         SUCCESS         ERROR
SRR1145775:  PARTIAL         SUCCESS         PARTIAL         PARTIAL         INCOMPLETE_low  ERROR
SRR1919543:  NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR
SRR1925329:  INCOMPLETE_low  INCOMPLETE_low  INCOMPLETE_low  PARTIAL         PARTIAL         PARTIAL
SRR1946759:  NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR         NO_PAIR
SRR3089810:  PARTIAL         SUCCESS         PARTIAL         PARTIAL         PARTIAL         SUCCESS
SRR3656962:  SUCCESS         SUCCESS         ERROR           PARTIAL         PARTIAL         INCOMPLETE_low
SRR4099903:  PARTIAL         SUCCESS         PARTIAL         ERROR           INCOMPLETE_low  ERROR
SRR4099904:  INCOMPLETE_low  INCOMPLETE_low  INCOMPLETE_low  INCOMPLETE_low  INCOMPLETE_low  ERROR
SRR4428742:  PARTIAL         SUCCESS         PARTIAL         ERROR           SUCCESS         PARTIAL
SRR5028798:  SUCCESS         SUCCESS         PARTIAL         PARTIAL         SUCCESS         PARTIAL
SRR5152976:  PARTIAL         SUCCESS         PARTIAL         PARTIAL         INCOMPLETE_low  ERROR
SRR5602572:  SUCCESS         PARTIAL         ERROR           ERROR           PARTIAL         ERROR
SRR5602573:  PARTIAL         PARTIAL         ERROR           ERROR           INCOMPLETE_low  ERROR
SRR5602574:  ERROR           SUCCESS         ERROR           ERROR           ERROR           ERROR
SRR5602575:  INCOMPLETE_low  SUCCESS         ERROR           ERROR           ERROR           ERROR
SRR5602576:  ERROR           PARTIAL         SUCCESS         ERROR           ERROR           INCOMPLETE_low
SRR5602577:  PARTIAL         PARTIAL         ERROR           ERROR           INCOMPLETE_low  ERROR
SRR5602578:  INCOMPLETE_low  SUCCESS         PARTIAL         ERROR           ERROR           ERROR
SRR5602579:  ERROR           PARTIAL         ERROR           ERROR           ERROR           ERROR
SRR5602581:  INCOMPLETE_low  SUCCESS         PARTIAL         ERROR           ERROR           ERROR
SRR5602582:  SUCCESS         SUCCESS         PARTIAL         PARTIAL         ERROR           ERROR
SRR5602583:  ERROR           INCOMPLETE_low  PARTIAL         INCOMPLETE_low  ERROR           ERROR
SRR5602584:  SUCCESS         SUCCESS         PARTIAL         ERROR           INCOMPLETE_low  SUCCESS
SRR5602585:  SUCCESS         PARTIAL         PARTIAL         PARTIAL         INCOMPLETE_low  ERROR
SRR5602586:  INCOMPLETE_low  PARTIAL         SUCCESS         ERROR           INCOMPLETE_low  PARTIAL
SRR5602587:  ERROR           PARTIAL         PARTIAL         ERROR           ERROR           ERROR
SRR5602588:  SUCCESS         PARTIAL         ERROR           PARTIAL         INCOMPLETE_low  SUCCESS
SRR5602589:  SUCCESS         SUCCESS         ERROR           ERROR           INCOMPLETE_low  SUCCESS
SRR5602590:  PARTIAL         PARTIAL         ERROR           PARTIAL         ERROR           ERROR
SRR5602591:  INCOMPLETE_low  SUCCESS         PARTIAL         PARTIAL         INCOMPLETE_low  ERROR
SRR5602592:  SUCCESS         SUCCESS         ERROR           PARTIAL         PARTIAL         ERROR
SRR5602593:  SUCCESS         SUCCESS         PARTIAL         PARTIAL         ERROR           ERROR
SRR5602594:  INCOMPLETE_low  SUCCESS         ERROR           PARTIAL         INCOMPLETE_low  ERROR
SRR5602595:  ERROR           INCOMPLETE_low  PARTIAL         ERROR           INCOMPLETE_low  ERROR
SRR5602596:  INCOMPLETE_low  PARTIAL         ERROR           PARTIAL         ERROR           ERROR
SRR5602597:  PARTIAL         SUCCESS         ERROR           ERROR           INCOMPLETE_low  ERROR
SRR5602598:  ERROR           SUCCESS         ERROR           PARTIAL         ERROR           INCOMPLETE_low
SRR5602599:  SUCCESS         SUCCESS         ERROR           PARTIAL         SUCCESS         SUCCESS
SRR5602600:  PARTIAL         SUCCESS         PARTIAL         PARTIAL         ERROR           ERROR
SRR5602601:  PARTIAL         PARTIAL         PARTIAL         ERROR           ERROR           ERROR
SRR5602602:  SUCCESS         SUCCESS         ERROR           PARTIAL         SUCCESS         SUCCESS
SRR5602603:  ERROR           SUCCESS         ERROR           PARTIAL         INCOMPLETE_low  ERROR
