SRR          CE              FP              GO  IOGA  NP  OA
DRR047289:   PARTIAL         PARTIAL         -   -     -   -
DRR047290:   INCOMPLETE_low  PARTIAL         -   -     -   -
DRR047291:   ERROR_file      INCOMPLETE_low  -   -     -   -
DRR057122:   PARTIAL         SUCCESS         -   -     -   -
DRR059734:   PARTIAL         PARTIAL         -   -     -   -
DRR066435:   PARTIAL         PARTIAL         -   -     -   -
DRR089517:   PARTIAL         SUCCESS         -   -     -   -
DRR090198:   ERROR_file      INCOMPLETE_low  -   -     -   -
ERR1462646:  ERROR_file      SUCCESS         -   -     -   -
ERR1824213:  PARTIAL         PARTIAL         -   -     -   -
ERR2001942:  PARTIAL         SUCCESS         -   -     -   -
ERR2003066:  PARTIAL         SUCCESS         -   -     -   -
ERR2174632:  INCOMPLETE_low  SUCCESS         -   -     -   -
ERR2187925:  PARTIAL         SUCCESS         -   -     -   -
SRR1503730:  SUCCESS         SUCCESS         -   -     -   -
SRR1692423:  ERROR           PARTIAL         -   -     -   -
SRR2083745:  INCOMPLETE_low  PARTIAL         -   -     -   -
SRR2847417:  PARTIAL         SUCCESS         -   -     -   -
SRR3194007:  PARTIAL         SUCCESS         -   -     -   -
SRR3244044:  ERROR_file      PARTIAL         -   -     -   -
SRR3624680:  INCOMPLETE_low  PARTIAL         -   -     -   -
SRR3724930:  SUCCESS         SUCCESS         -   -     -   -
SRR4319201:  ERROR_file      INCOMPLETE_low  -   -     -   -
SRR4409143:  ERROR_file      INCOMPLETE_low  -   -     -   -
SRR4457826:  PARTIAL         PARTIAL         -   -     -   -
SRR4457827:  INCOMPLETE_low  PARTIAL         -   -     -   -
SRR4457829:  ERROR           PARTIAL         -   -     -   -
SRR4457830:  ERROR_file      PARTIAL         -   -     -   -
SRR4457831:  ERROR_file      PARTIAL         -   -     -   -
SRR4457832:  PARTIAL         SUCCESS         -   -     -   -
SRR4457833:  ERROR_file      PARTIAL         -   -     -   -
SRR4457834:  ERROR_file      PARTIAL         -   -     -   -
SRR4457835:  ERROR_file      PARTIAL         -   -     -   -
SRR4457837:  ERROR_file      INCOMPLETE_low  -   -     -   -
SRR5046394:  INCOMPLETE_low  SUCCESS         -   -     -   -
SRR5381288:  INCOMPLETE_low  PARTIAL         -   -     -   -
SRR5457665:  PARTIAL         PARTIAL         -   -     -   -
SRR5464169:  PARTIAL         SUCCESS         -   -     -   -
SRR5469181:  INCOMPLETE_low  PARTIAL         -   -     -   -
SRR5483069:  ERROR_file      PARTIAL         -   -     -   -
SRR5590327:  ERROR_file      SUCCESS         -   -     -   -
SRR5799057:  SUCCESS         PARTIAL         -   -     -   -
SRR5838021:  SUCCESS         ERROR_file      -   -     -   -
SRR6067630:  ERROR_file      ERROR_file      -   -     -   -
SRR6132707:  ERROR_file      ERROR_file      -   -     -   -
SRR6195036:  INCOMPLETE_low  ERROR_file      -   -     -   -
SRR6294517:  PARTIAL         ERROR_file      -   -     -   -
SRR6294519:  ERROR_file      ERROR_file      -   -     -   -
SRR6319958:  ERROR_file      ERROR_file      -   -     -   -
