SRR          CE       FP               GO  IOGA  NP  OA
SRR1945451:  SUCCESS  SUCCESS          -   -     -   -
SRR1945454:  SUCCESS  SUCCESS          -   -     -   -
SRR1945473:  SUCCESS  SUCCESS          -   -     -   -
SRR1945486:  SUCCESS  SUCCESS          -   -     -   -
SRR1945487:  SUCCESS  SUCCESS          -   -     -   -
SRR1945490:  SUCCESS  SUCCESS          -   -     -   -
SRR1945494:  SUCCESS  SUCCESS          -   -     -   -
SRR1945520:  SUCCESS  SUCCESS          -   -     -   -
SRR1945527:  SUCCESS  SUCCESS          -   -     -   -
SRR1945531:  SUCCESS  SUCCESS          -   -     -   -
SRR1945534:  SUCCESS  SUCCESS          -   -     -   -
SRR1945538:  SUCCESS  SUCCESS          -   -     -   -
SRR1945548:  SUCCESS  SUCCESS          -   -     -   -
SRR1945549:  SUCCESS  SUCCESS          -   -     -   -
SRR1945555:  SUCCESS  SUCCESS          -   -     -   -
SRR1945562:  SUCCESS  SUCCESS          -   -     -   -
SRR1945569:  SUCCESS  SUCCESS          -   -     -   -
SRR1945582:  SUCCESS  SUCCESS          -   -     -   -
SRR1945603:  SUCCESS  SUCCESS          -   -     -   -
SRR1945758:  SUCCESS  SUCCESS          -   -     -   -
SRR1945764:  SUCCESS  SUCCESS          -   -     -   -
SRR1945773:  SUCCESS  SUCCESS          -   -     -   -
SRR1945783:  SUCCESS  SUCCESS          -   -     -   -
SRR1945796:  SUCCESS  SUCCESS          -   -     -   -
SRR1945817:  SUCCESS  SUCCESS          -   -     -   -
SRR1945831:  SUCCESS  SUCCESS          -   -     -   -
SRR1945850:  SUCCESS  INCOMPLETE_high  -   -     -   -
SRR1945864:  SUCCESS  SUCCESS          -   -     -   -
SRR1945898:  SUCCESS  SUCCESS          -   -     -   -
SRR1945940:  SUCCESS  SUCCESS          -   -     -   -
SRR1945990:  SUCCESS  SUCCESS          -   -     -   -
SRR1945991:  SUCCESS  SUCCESS          -   -     -   -
SRR1945999:  SUCCESS  SUCCESS          -   -     -   -
SRR1946010:  SUCCESS  SUCCESS          -   -     -   -
SRR1946053:  SUCCESS  SUCCESS          -   -     -   -
SRR1946054:  SUCCESS  SUCCESS          -   -     -   -
SRR1946105:  SUCCESS  SUCCESS          -   -     -   -
SRR1946136:  SUCCESS  SUCCESS          -   -     -   -
SRR1946153:  SUCCESS  SUCCESS          -   -     -   -
SRR1946188:  SUCCESS  SUCCESS          -   -     -   -
SRR1946209:  SUCCESS  SUCCESS          -   -     -   -
SRR1946219:  SUCCESS  SUCCESS          -   -     -   -
SRR1946233:  SUCCESS  SUCCESS          -   -     -   -
SRR1946258:  SUCCESS  SUCCESS          -   -     -   -
SRR1946260:  SUCCESS  SUCCESS          -   -     -   -
SRR1946268:  SUCCESS  SUCCESS          -   -     -   -
SRR1946270:  SUCCESS  SUCCESS          -   -     -   -
SRR1946278:  SUCCESS  SUCCESS          -   -     -   -
SRR1946288:  SUCCESS  SUCCESS          -   -     -   -
SRR1946305:  SUCCESS  INCOMPLETE_low   -   -     -   -
SRR1946312:  SUCCESS  INCOMPLETE_low   -   -     -   -
SRR1946313:  SUCCESS  SUCCESS          -   -     -   -
SRR1946386:  SUCCESS  SUCCESS          -   -     -   -
SRR1946389:  SUCCESS  SUCCESS          -   -     -   -
SRR1946391:  SUCCESS  SUCCESS          -   -     -   -
SRR1946399:  SUCCESS  SUCCESS          -   -     -   -
SRR1946401:  SUCCESS  INCOMPLETE_low   -   -     -   -
SRR1946404:  SUCCESS  SUCCESS          -   -     -   -
SRR1946409:  SUCCESS  INCOMPLETE_low   -   -     -   -
SRR1946410:  SUCCESS  SUCCESS          -   -     -   -
SRR1946415:  SUCCESS  SUCCESS          -   -     -   -
SRR1946426:  SUCCESS  SUCCESS          -   -     -   -
SRR1946433:  SUCCESS  SUCCESS          -   -     -   -
SRR1946436:  SUCCESS  SUCCESS          -   -     -   -
SRR1946437:  SUCCESS  SUCCESS          -   -     -   -
SRR1946440:  SUCCESS  INCOMPLETE_high  -   -     -   -
SRR1946441:  SUCCESS  SUCCESS          -   -     -   -
SRR1946442:  SUCCESS  SUCCESS          -   -     -   -
SRR1946443:  SUCCESS  SUCCESS          -   -     -   -
SRR1946447:  SUCCESS  INCOMPLETE_low   -   -     -   -
SRR1946452:  SUCCESS  SUCCESS          -   -     -   -
SRR1946453:  SUCCESS  SUCCESS          -   -     -   -
SRR1946456:  SUCCESS  SUCCESS          -   -     -   -
SRR1946457:  SUCCESS  SUCCESS          -   -     -   -
SRR1946463:  SUCCESS  SUCCESS          -   -     -   -
SRR1946468:  SUCCESS  SUCCESS          -   -     -   -
SRR1946471:  SUCCESS  SUCCESS          -   -     -   -
SRR1946478:  SUCCESS  SUCCESS          -   -     -   -
SRR1946479:  SUCCESS  SUCCESS          -   -     -   -
SRR1946480:  SUCCESS  SUCCESS          -   -     -   -
SRR1946481:  SUCCESS  SUCCESS          -   -     -   -
SRR1946553:  SUCCESS  SUCCESS          -   -     -   -
SRR1946556:  SUCCESS  SUCCESS          -   -     -   -
SRR1946557:  SUCCESS  SUCCESS          -   -     -   -
SRR1946560:  SUCCESS  SUCCESS          -   -     -   -
SRR1946562:  SUCCESS  SUCCESS          -   -     -   -
